<<<<<<< HEAD
﻿section,2016 Applicant and Entering-Class Data,
order,93,
The Ohio State University College of Dentistry,Out-of-state,"AZ, CA, FL, MI, MO, TN, TX, UT, VA, WI"
The Ohio State University College of Dentistry,International (noncitizens who are not permanent residents),NA
The University of Iowa College of Dentistry & Dental Clinics,Out-of-state,"AK, CA, CO, IL, MN, MO, NE, OR, SD, UT, WI, State Not Reported"
The University of Iowa College of Dentistry & Dental Clinics,International (noncitizens who are not permanent residents),NA
Touro College of Dental Medicine at New York Medical College,Out-of-state,"AL, CA, CO, CT, FL, IA, MI, MS, NC, NJ, OH, PA, TN, TX, VA, WA, WI, State Not Reported"
Touro College of Dental Medicine at New York Medical College,International (noncitizens who are not permanent residents),NA
Tufts University School of Dental Medicine,Out-of-state,"AL, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, LA, MD, ME, MI, MS, NC, NH, NJ, NY, OR, PA, RI, SC, TX, VA, WA, WI, State Not Reported"
Tufts University School of Dental Medicine,International (noncitizens who are not permanent residents),"Barbados, Canada, South Korea, Taiwan"
University at Buffalo School of Dental Medicine,Out-of-state,"CA, GA, IN, ME, MI, NJ, PA, UT, State Not Reported"
University at Buffalo School of Dental Medicine,International (noncitizens who are not permanent residents),Canada
University of Alabama at Birmingham School of Dentistry,Out-of-state,"FL, GA, IL, LA, MS, NC, TN, VA"
University of Alabama at Birmingham School of Dentistry,International (noncitizens who are not permanent residents),India
"University of California, Los Angeles, School of Dentistry",Out-of-state,"CO, FL, GA, IL, MD, MN, NV, NY, TX, UT, VA, WA"
"University of California, Los Angeles, School of Dentistry",International (noncitizens who are not permanent residents),"China, South Korea, United Kingdom"
"University of California, San Francisco, School of Dentistry",Out-of-state,"AZ, CT, GA, HI, KY, MA, MD, ND, NJ, NV, NY, OH, OR, WA, State Not Reported"
"University of California, San Francisco, School of Dentistry",International (noncitizens who are not permanent residents),"Chile, China, Iran, South Korea"
University of Colorado School of Dental Medicine,Out-of-state,"AK, AZ, CA, CT, GA, HI, IN, MO, MT, ND, NM, NV, OK, SD, TN, TX, WA"
University of Colorado School of Dental Medicine,International (noncitizens who are not permanent residents),NA
University of Connecticut School of Dental Medicine,Out-of-state,"AZ, FL, MA, MD, ME, NJ, PA, RI, VT, State Not Reported"
University of Connecticut School of Dental Medicine,International (noncitizens who are not permanent residents),Singapore
University of Detroit Mercy School of Dentistry,Out-of-state,"CA, FL, ID, IL, IN, KS, MD, MN, NY, OH, TX, UT, VA, WA, WI, State Not Reported"
University of Detroit Mercy School of Dentistry,International (noncitizens who are not permanent residents),"Canada, China, Senegal, South Korea"
University of Florida College of Dentistry,Out-of-state,"GA, NC, NY, OH, VA"
University of Florida College of Dentistry,International (noncitizens who are not permanent residents),NA
University of Illinois at Chicago College of Dentistry,Out-of-state,IN
University of Illinois at Chicago College of Dentistry,International (noncitizens who are not permanent residents),NA
University of Kentucky College of Dentistry,Out-of-state,"AK, AZ, CA, FL, GA, IL, IN, KS, NC, NJ, NY, OH, OK, OR, PA, TN, TX"
University of Kentucky College of Dentistry,International (noncitizens who are not permanent residents),South Korea
University of Louisville School of Dentistry,Out-of-state,"AK, AL, AZ, CA, CO, DC, FL, GA, IL, IN, LA, NC, OH, PA, TN, UT, VA, WA, WI, WY, State Not Reported"
University of Louisville School of Dentistry,International (noncitizens who are not permanent residents),"Canada, Syria"
University of Maryland School of Dentistry,Out-of-state,"AL, DE, FL, GA, IL, MI, NC, NJ, NY, PA, RI, TX, VA, State Not Reported"
University of Maryland School of Dentistry,International (noncitizens who are not permanent residents),"South Korea, Vietnam"
University of Michigan School of dentistry,Out-of-state,"AZ, CA, CO, FL, GA, ID, IL, IN, MA, MD, NC, NH, NY, OH, OK, PA, TX, UT, VA, WA, WI, State Not Reported"
University of Michigan School of dentistry,International (noncitizens who are not permanent residents),"Canada, China"
University of Minnesota School of Dentistry,Out-of-state,"AK, CA, CO, GA, IA, IL, IN, MI, MT, ND, OH, SC, SD, TX, WA, WI, State Not Reported"
University of Minnesota School of Dentistry,International (noncitizens who are not permanent residents),"Canada, South Korea, Vietnam"
University of Mississippi Medical Center School of Dentistry,Out-of-state,NA
University of Mississippi Medical Center School of Dentistry,International (noncitizens who are not permanent residents),NA
University of Missouri - Kansas City School of Dentistry,Out-of-state,"AR, CT, HI, IL, KS, LA, NE, NM, OK, State Not Reported"
University of Missouri - Kansas City School of Dentistry,International (noncitizens who are not permanent residents),NA
University of Nebraska Medical Center College of Dentistry,Out-of-state,"CO, FL, GA, KS, MA, SD, WY, State Not Reported"
University of Nebraska Medical Center College of Dentistry,International (noncitizens who are not permanent residents),China
"University of Nevada, Las Vegas, School of Dental Medicine",Out-of-state,"AK, CA, FL, GA, HI, LA, MD, MI, NC, NE, OR, UT, WA"
"University of Nevada, Las Vegas, School of Dental Medicine",International (noncitizens who are not permanent residents),NA
University of New England College of Dental Medicine,Out-of-state,"CA, FL, GA, IN, KS, MA, MI, MN, NH, NJ, NY, OH, OR, PA, RI, TN, TX, UT, VA, VT, WA, State Not Reported"
University of New England College of Dental Medicine,International (noncitizens who are not permanent residents),Canada
University of North Carolina at Chapel Hill School of Dentistry,Out-of-state,"CA, CT, FL, GA, IA, MI, MN, MS, NJ, SC, VA, State Not Reported"
University of North Carolina at Chapel Hill School of Dentistry,International (noncitizens who are not permanent residents),Canada
University of Oklahoma College of Dentistry,Out-of-state,"AR, KS, MI, MO, TX, UT"
University of Oklahoma College of Dentistry,International (noncitizens who are not permanent residents),NA
University of Pennsylvania School of Dental Medicine,Out-of-state,"CA, CO, CT, DE, FL, GA, HI, IL, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, OK, SC, TX, UT, VA, WA, State Not Reported"
University of Pennsylvania School of Dental Medicine,International (noncitizens who are not permanent residents),"Australia, Barbados, Canada, France, South Korea"
University of Pittsburgh School of Dental Medicine,Out-of-state,"CA, FL, GA, IL, MA, MD, MI, MO, NC, NH, NJ, NY, OH, TN, TX, VA, WA, WI, WV, State Not Reported"
University of Pittsburgh School of Dental Medicine,International (noncitizens who are not permanent residents),"Canada, China, India"
University of Puerto Rico School of Dental Medicine,Out-of-state,"FL, State Not Reported"
University of Puerto Rico School of Dental Medicine,International (noncitizens who are not permanent residents),NA
University of Tennessee Health Science Center College of Dentistry,Out-of-state,"AL, AR, CA, FL, GA, KS, MS, NJ, SC, WI"
University of Tennessee Health Science Center College of Dentistry,International (noncitizens who are not permanent residents),NA
University of Texas Health Science Center at San Antonio School of Dentistry,Out-of-state,"CO, MO, NC, NM, SC"
University of Texas Health Science Center at San Antonio School of Dentistry,International (noncitizens who are not permanent residents),NA
University of Texas School of Dentistry at Houston,Out-of-state,"FL, ID, LA, UT, VA, WI"
University of Texas School of Dentistry at Houston,International (noncitizens who are not permanent residents),NA
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Out-of-state,"AZ, CO, CT, HI, ID, MI, NC, OR, TX, UT, WA, WI, State Not Reported"
"University of the Pacific, Arthur A. Dugoni School of Dentistry",International (noncitizens who are not permanent residents),"China, South Korea, Country Not Reported"
University of Utah School of Dentistry,Out-of-state,"AZ, CA, CO, FL, GA, HI, ID, MT, NV, OK, OR, TN, TX, WA, WY"
University of Utah School of Dentistry,International (noncitizens who are not permanent residents),NA
University of Washington School of Dentistry,Out-of-state,"AZ, HI, SD, UT, VA, WY"
University of Washington School of Dentistry,International (noncitizens who are not permanent residents),"Mexico, South Korea"
Virginia Commonwealth University School of Dentistry,Out-of-state,"CO, FL, GA, HI, KY, MD, MN, NC, NY, OH, PA, SC, TX, UT, WI, State Not Reported"
Virginia Commonwealth University School of Dentistry,International (noncitizens who are not permanent residents),"Canada, Italy, Kuwait, South Korea, Tanzania"
West Virginia University School of Dentistry,Out-of-state,"CA, MI, NC, OH, PA, VA"
West Virginia University School of Dentistry,International (noncitizens who are not permanent residents),NA
Western University of Health Sciences College of Dental Medicine,Out-of-state,"AZ, CO, CT, FL, IL, LA, MA, MD, MI, MN, MT, NJ, NM, NY, TX, UT, WA, State Not Reported"
Western University of Health Sciences College of Dental Medicine,International (noncitizens who are not permanent residents),"China, Guatemala, South Korea"
University of Alberta School of Dentistry,Out-of-province,NR
University of Alberta School of Dentistry,International (noncitizens who are not permanent residents),NA
The University of British Columbia Faculty of Dentistry ,Out-of-province,NR
The University of British Columbia Faculty of Dentistry ,International (noncitizens who are not permanent residents),NR
University of Manitoba College of Dentistry,Out-of-province,NR
University of Manitoba College of Dentistry,International (noncitizens who are not permanent residents),NA
Dalhousie University Faculty of Dentistry,Out-of-province,NR
Dalhousie University Faculty of Dentistry,International (noncitizens who are not permanent residents),NR
University of Toronto Faculty of Dentistry,Out-of-province,"AB, NS, QC"
University of Toronto Faculty of Dentistry,International (noncitizens who are not permanent residents),India
Western University Schulich School of Medicine & Dentistry,Out-of-province,"AB, QC"
Western University Schulich School of Medicine & Dentistry,International (noncitizens who are not permanent residents),NA
McGill University Faculty of Dentistry,Out-of-province,"AB, BC, NS, ON"
McGill University Faculty of Dentistry,International (noncitizens who are not permanent residents),Spain
Université de Montréal Faculté de Médecine Dentaire,Out-of-province,NR
Université de Montréal Faculté de Médecine Dentaire,International (noncitizens who are not permanent residents),NR
Université Laval Faculté de Médecine Dentaire,Out-of-province,NR
Université Laval Faculté de Médecine Dentaire,International (noncitizens who are not permanent residents),NR
University of Saskatchewan College of Dentistry,Out-of-province,"AB, MB"
University of Saskatchewan College of Dentistry,International (noncitizens who are not permanent residents),NA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
>>>>>>> settings
