section,Costs and Financial Aid,,,,
University of Texas Health Science Center at San Antonio School of Dentistry,Estimated living expenses,,,,
University of Texas Health Science Center at San Antonio School of Dentistry,"Total, resident",,,,
University of Texas Health Science Center at San Antonio School of Dentistry,"Total, nonresident",,,,
University of Texas School of Dentistry at Houston,"Tuition, resident",,,,
University of Texas School of Dentistry at Houston,"Tuition, nonresident",,,,
University of Texas School of Dentistry at Houston,Fees,,,,
University of Texas School of Dentistry at Houston,"Instruments, books, and supplies",,,,
University of Texas School of Dentistry at Houston,Estimated living expenses,,,,
University of Texas School of Dentistry at Houston,"Total, resident",,,,
University of Texas School of Dentistry at Houston,"Total, nonresident",,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Tuition, resident",,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Tuition, nonresident",,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Fees,,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Instruments, books, and supplies",,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Estimated living expenses,,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Total, resident",,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Total, nonresident",,,,
University of Utah School of Dentistry,"Tuition, resident",,,,
University of Utah School of Dentistry,"Tuition, nonresident",,,,
University of Utah School of Dentistry,Fees,,,,
University of Utah School of Dentistry,"Instruments, books, and supplies",,,,
University of Utah School of Dentistry,Estimated living expenses,,,,
University of Utah School of Dentistry,"Total, resident",,,,
University of Utah School of Dentistry,"Total, nonresident",,,,
Virginia Commonwealth University School of Dentistry,"Tuition, resident",,,,
Virginia Commonwealth University School of Dentistry,"Tuition, nonresident",,,,
Virginia Commonwealth University School of Dentistry,"Tuition, International Dentist Program",,,,
Virginia Commonwealth University School of Dentistry,"Fees, resident",,,,
Virginia Commonwealth University School of Dentistry,"Fees, nonresident",,,,
Virginia Commonwealth University School of Dentistry,"Fees, International Dentist Program",,,,
Virginia Commonwealth University School of Dentistry,"Instruments, books, and supplies",,,,
Virginia Commonwealth University School of Dentistry,Estimated living expenses,,,,
Virginia Commonwealth University School of Dentistry,"Total, resident",,,,
Virginia Commonwealth University School of Dentistry,"Total, nonresident",,,,
Virginia Commonwealth University School of Dentistry,"Total, International Dentist Program",,,,
University of Washington School of Dentistry,"Tuition, resident",,,,
University of Washington School of Dentistry,"Tuition, nonresident",,,,
University of Washington School of Dentistry,Fees,,,,
University of Washington School of Dentistry,"Instruments, books, and supplies",,,,
University of Washington School of Dentistry,Estimated living expenses,,,,
University of Washington School of Dentistry,"Total, resident",,,,
University of Washington School of Dentistry,"Total, nonresident",,,,
West Virginia University School of Dentistry,"Tuition, resident",,,,
West Virginia University School of Dentistry,"Tuition, nonresident",,,,
West Virginia University School of Dentistry,Fees,,,,
West Virginia University School of Dentistry,"Instruments, books, and supplies",,,,
West Virginia University School of Dentistry,Estimated living expenses,,,,
West Virginia University School of Dentistry,"Estimated living expenses, nonresident",,,,
West Virginia University School of Dentistry,"Total, resident",,,,
West Virginia University School of Dentistry,"Total, nonresident",,,,
Marquette University School of Dentistry,"Tuition, resident",,,,
Marquette University School of Dentistry,"Tuition, nonresident",,,,
Marquette University School of Dentistry,Fees,,,,
Marquette University School of Dentistry,"Instruments, books, and supplies",,,,
Marquette University School of Dentistry,Estimated living expenses,,,,
Marquette University School of Dentistry,"Total, resident",,,,
Marquette University School of Dentistry,"Total, nonresident",,,,
University of Alberta School of Dentistry ,"Tuition, in-province students",,,,
University of Alberta School of Dentistry ,"Tuition, out-of-province students",,,,
University of Alberta School of Dentistry ,"Tuition, international students",,,,
University of Alberta School of Dentistry ,Fees,,,,
University of Alberta School of Dentistry ,"Instruments, books, and supplies",,,,
University of Alberta School of Dentistry ,Estimated living expenses,,,,
University of Alberta School of Dentistry ,"Total, in-province students",,,,
University of Alberta School of Dentistry ,"Total, out-of-province students",,,,
University of Alberta School of Dentistry ,"Total, international students",,,,
University of Alberta School of Dentistry ,Notes: ,,,,
University of British Columbia Faculty of Dentistry ,"Tuition, resident",,,,
University of British Columbia Faculty of Dentistry ,"Tuition, nonresident",,,,
University of British Columbia Faculty of Dentistry ,Fees,,,,
University of British Columbia Faculty of Dentistry ,"Instruments, books, and supplies",,,,
University of British Columbia Faculty of Dentistry ,Estimated living expenses,,,,
University of British Columbia Faculty of Dentistry ,"Total, resident",,,,
University of British Columbia Faculty of Dentistry ,"Total, nonresident",,,,
University of British Columbia Faculty of Dentistry ,Notes: ,,,,
University of Manitoba College of Dentistry ,"Tuition, in-province students",,,,
University of Manitoba College of Dentistry ,"Tuition, out-of-province students",,,,
University of Manitoba College of Dentistry ,Fees,,,,
University of Manitoba College of Dentistry ,"Instruments, books, and supplies",,,,
University of Manitoba College of Dentistry ,Estimated living expenses,,,,
University of Manitoba College of Dentistry ,"Total, in-province students",,,,
University of Manitoba College of Dentistry ,"Total, out-of-province students",,,,
University of Manitoba College of Dentistry ,Notes: ,,,,
Dalhousie University Faculty of Dentistry ,"Tuition, in-province student",,,,
Dalhousie University Faculty of Dentistry ,"Tuition, out-of-province student",,,,
Dalhousie University Faculty of Dentistry ,"Tuition, international student",,,,
Dalhousie University Faculty of Dentistry ,Fees,,,,
Dalhousie University Faculty of Dentistry ,"Instruments, books, and supplies",,,,
Dalhousie University Faculty of Dentistry ,Estimated living expenses,,,,
Dalhousie University Faculty of Dentistry ,"Total, in-province resident",,,,
Dalhousie University Faculty of Dentistry ,"Total, out-of-province resident",,,,
Dalhousie University Faculty of Dentistry ,"Total, international student",,,,
Dalhousie University Faculty of Dentistry ,Notes: ,,,,
University of Toronto Faculty of Dentistry ,"Tuition, in-province student",,,,
University of Toronto Faculty of Dentistry ,"Tuition, out-of-province student",,,,
University of Toronto Faculty of Dentistry ,"Tuition, international student",,,,
University of Toronto Faculty of Dentistry ,Fees,,,,
University of Toronto Faculty of Dentistry ,"Instruments, books, and supplies",,,,
University of Toronto Faculty of Dentistry ,Estimated living expenses,,,,
University of Toronto Faculty of Dentistry ,"Total, in-province students",,,,
University of Toronto Faculty of Dentistry ,"Total, out-of-province student",,,,
University of Toronto Faculty of Dentistry ,"Total, international student",,,,
University of Toronto Faculty of Dentistry ,Notes: ,,,,
Western University Schulich School of Medicine & Dentistry ,"Tuition, in-province student",,,,
Western University Schulich School of Medicine & Dentistry ,"Tuition, out-of-province student",,,,
Western University Schulich School of Medicine & Dentistry ,"Tuition, international student",,,,
Western University Schulich School of Medicine & Dentistry ,Fees,,,,
Western University Schulich School of Medicine & Dentistry ,"Instruments, books, and supplies",,,,
Western University Schulich School of Medicine & Dentistry ,Estimated living expenses,,,,
Western University Schulich School of Medicine & Dentistry ,"Total, in-province students",,,,
Western University Schulich School of Medicine & Dentistry ,"Total, out-of-province student",,,,
Western University Schulich School of Medicine & Dentistry ,"Total, international student",,,,
Western University Schulich School of Medicine & Dentistry ,Notes: ,,,,
McGill University Faculty of Dentistry ,"Tuition, in-province student",,,,
McGill University Faculty of Dentistry ,"Tuition, out-of-province student",,,,
McGill University Faculty of Dentistry ,"Tuition, international student",,,,
McGill University Faculty of Dentistry ,Fees,,,,
McGill University Faculty of Dentistry ,"Instruments, books, and supplies",,,,
McGill University Faculty of Dentistry ,Estimated living expenses,,,,
McGill University Faculty of Dentistry ,"Total, in-province students",,,,
McGill University Faculty of Dentistry ,"Total, out-of-province student",,,,
McGill University Faculty of Dentistry ,"Total, international student",,,,
McGill University Faculty of Dentistry ,Notes: ,,,,
Université Laval Faculté de Médecine Dentaire ,"Tuition, in-province student",,,,
Université Laval Faculté de Médecine Dentaire ,"Tuition, out-of-province student",,,,
Université Laval Faculté de Médecine Dentaire ,Fees,,,,
Université Laval Faculté de Médecine Dentaire ,"Instruments, books, and supplies",,,,
Université Laval Faculté de Médecine Dentaire ,Estimated living expenses,,,,
Université Laval Faculté de Médecine Dentaire ,"Total, in-province student",,,,
Université Laval Faculté de Médecine Dentaire ,"Total, out-of-province student ",,,,
Université Laval Faculté de Médecine Dentaire ,Notes: ,,,,
Université de Montréal Faculté de Médecine Dentaire,"Tuition, inprovince student",,,,
Université de Montréal Faculté de Médecine Dentaire,"Tuition, out-of-province student",,,,
Université de Montréal Faculté de Médecine Dentaire,Fees,,,,
Université de Montréal Faculté de Médecine Dentaire,"Instruments,books, and",,,,
Université de Montréal Faculté de Médecine Dentaire,Estimated living expenses,,,,
Université de Montréal Faculté de Médecine Dentaire,"Total, inprovince student",,,,
Université de Montréal Faculté de Médecine Dentaire,"Total, out-ofprovince student",,,,
Université de Montréal Faculté de Médecine Dentaire,Notes: ,,,,
University of Saskatchewan College of Dentistry,"Tuition, inprovince student",,,,
University of Saskatchewan College of Dentistry,"Tuition, out-of-province student",,,,
University of Saskatchewan College of Dentistry,Fees,,,,
University of Saskatchewan College of Dentistry,"Instruments,books, and",,,,
University of Saskatchewan College of Dentistry,Estimated living expenses,,,,
University of Saskatchewan College of Dentistry,"Total, inprovince student",,,,
University of Saskatchewan College of Dentistry,"Total, out-ofprovince student",,,,
University of Saskatchewan College of Dentistry,Notes: ,,,,
