section,Costs and Financial Aid,,,,
University of Minnesota School of Dentistry,"Tuition, nonresident","$63,992 ","$80,651 ","$80,651 ","$80,651 "
University of Minnesota School of Dentistry,Fees,"$7,145 ","$9,179 ","$8,764 ","$7,719 "
University of Minnesota School of Dentistry,Fees for international students,$318 ,$396 ,$396 ,$396 
University of Minnesota School of Dentistry,"Instruments, books, and supplies","$1,595 ","$1,851 ",$860 ,$0 
University of Minnesota School of Dentistry,Estimated living expenses,"$15,792 ","$23,330 ","$23,330 ","$23,330 "
University of Minnesota School of Dentistry,"Total, resident","$59,072 ","$78,184 ","$76,778 ","$74,873 "
University of Minnesota School of Dentistry,"Total, nonresident","$88,524 ","$115,011 ","$113,605 ","$111,700 "
University of Minnesota School of Dentistry,"Total, international","$88,841 ","$115,407 ","$114,001 ","$112,096 "
University of Minnesota School of Dentistry,"#5#Notes: Because we are a public institution, tuition levels are significantly affected by both federal and state funding. The amounts provided are good faith estimates for planning purposes but may be more or less depending on various external factors.",,,,
University of Mississippi Medical Center School of dentistry,"Tuition, resident","$26,800 ","$26,800 ","$26,800 ","$26,800 "
University of Mississippi Medical Center School of dentistry,"Tuition, nonresident",NA,NA,NA,NA
University of Mississippi Medical Center School of dentistry,Fees,$100 ,$100 ,"$2,435 ",$350 
University of Mississippi Medical Center School of dentistry,"Instruments, books, and supplies","$5,446 ","$2,260 ","$1,847 ","$1,100 "
University of Mississippi Medical Center School of dentistry,Estimated living expenses,"$13,500 ","$13,500 ","$18,000 ","$18,000 "
University of Mississippi Medical Center School of dentistry,"Total, resident","$45,846 ","$42,660 ","$49,082 ","$46,250 "
University of Mississippi Medical Center School of dentistry,"Total, nonresident",NA,NA,NA,NA
University of Mississippi Medical Center School of dentistry,#5#Notes: ,,,,
A.T. Still University Missouri School of Dentistry & Oral Health,"Tuition, resident","$68,332 ","$66,416 ","$66,097 ","$63,862 "
A.T. Still University Missouri School of Dentistry & Oral Health,"Tuition, nonresident","$68,332 ","$66,416 ","$66,097 ","$63,862 "
A.T. Still University Missouri School of Dentistry & Oral Health,Fees,"$1,050 ","$1,050 ","$1,050 ","$1,050 "
A.T. Still University Missouri School of Dentistry & Oral Health,"Instruments, books, and supplies","$10,907 ","$10,018 ","$5,072 ","$5,308 "
A.T. Still University Missouri School of Dentistry & Oral Health,Estimated living expenses,"$26,039 ","$24,929 ","$32,916 ","$37,070 "
A.T. Still University Missouri School of Dentistry & Oral Health,"Total, resident","$106,328 ","$102,413 ","$105,135 ","$107,290 "
A.T. Still University Missouri School of Dentistry & Oral Health,"Total, nonresident","$106,328 ","$102,413 ","$105,135 ","$107,290 "
A.T. Still University Missouri School of Dentistry & Oral Health,#5#Notes: ,,,,
"University of Missouri - Kansas City, School of Dentistry","Tuition, resident","$30,075 ","$30,075 ","$37,375 ","$37,375 "
"University of Missouri - Kansas City, School of Dentistry","Tuition, nonresident","$59,940 ","$59,940 ","$74,489 ","$74,489 "
"University of Missouri - Kansas City, School of Dentistry",Fees,"$1,545 ","$1,745 ","$1,918 ","$1,891 "
"University of Missouri - Kansas City, School of Dentistry","Instruments, books, and supplies","$11,050 ","$10,770 ","$8,537 ","$10,415 "
"University of Missouri - Kansas City, School of Dentistry",Estimated living expenses,"$9,516 ","$9,516 ","$9,516 ","$9,516 "
"University of Missouri - Kansas City, School of Dentistry","Total, resident","$52,186 ","$52,106 ","$57,346 ","$59,197 "
"University of Missouri - Kansas City, School of Dentistry","Total, nonresident","$82,051 ","$81,971 ","$94,461 ","$96,311 "
"University of Missouri - Kansas City, School of Dentistry",#5#Notes: ,,,,
Creighton University School of Dentistry,"Tuition, resident","$57,512 ","$57,512 ","$57,512 ","$57,512 "
Creighton University School of Dentistry,"Tuition, nonresident","$57,512 ","$57,512 ","$57,512 ","$57,512 "
Creighton University School of Dentistry,Fees,"$1,764 ","$2,164 ","$1,664 ","$4,664 "
Creighton University School of Dentistry,"Instruments, books, and supplies","$8,116 ","$8,116 ","$7,716 ","$7,316 "
Creighton University School of Dentistry,Estimated living expenses,"$16,200 ","$19,800 ","$19,800 ","$19,800 "
Creighton University School of Dentistry,"Total, resident","$83,592 ","$87,592 ","$86,692 ","$89,292 "
Creighton University School of Dentistry,"Total, nonresident","$83,592 ","$87,592 ","$86,692 ","$89,292 "
Creighton University School of Dentistry,#5#Notes: ,,,,
University of Nebraska Medical Center College of Dentistry,"Tuition, resident","$29,924 ","$29,924 ","$29,924 ","$23,940 "
University of Nebraska Medical Center College of Dentistry,"Tuition, nonresident","$73,425 ","$73,425 ","$73,425 ","$73,425 "
University of Nebraska Medical Center College of Dentistry,Fees,"$4,206 ","$4,212 ","$4,206 ","$3,865 "
University of Nebraska Medical Center College of Dentistry,"Instruments, books, and supplies","$7,950 ","$7,840 ","$7,840 ","$7,840 "
University of Nebraska Medical Center College of Dentistry,Estimated living expenses,"$25,200 ","$25,200 ","$25,200 ","$21,000 "
University of Nebraska Medical Center College of Dentistry,"Total, resident","$67,280 ","$67,176 ","$67,170 ","$56,645 "
University of Nebraska Medical Center College of Dentistry,"Total, nonresident","$110,781 ","$110,677 ","$110,671 ","$91,445 "
University of Nebraska Medical Center College of Dentistry,#5#Notes: ,,,,
"University of Nevada, Las Vegas, School of Dental Medicine","Tuition, resident","$55,521 ","$55,521 ","$55,521 ","$37,014 "
"University of Nevada, Las Vegas, School of Dental Medicine","Tuition, nonresident","$93,969 ","$93,969 ","$93,969 ","$62,646 "
"University of Nevada, Las Vegas, School of Dental Medicine",Fees,"$2,714 ","$2,714 ","$2,714 ","$2,630 "
"University of Nevada, Las Vegas, School of Dental Medicine","Instruments, books, and supplies","$8,218 ","$6,918 ","$6,918 ","$4,612 "
"University of Nevada, Las Vegas, School of Dental Medicine",Estimated living expenses,"$29,637 ","$29,637 ","$29,637 ","$19,758 "
"University of Nevada, Las Vegas, School of Dental Medicine","Total, resident","$96,090 ","$94,790 ","$94,790 ","$64,104 "
"University of Nevada, Las Vegas, School of Dental Medicine","Total, nonresident","$134,538 ","$133,238 ","$133,238 ","$89,646 "
"University of Nevada, Las Vegas, School of Dental Medicine","#5#Notes: Fees include $2,462 for mandatory health insurance.",,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine","Tuition, resident","$38,883 ","$38,883 ","$38,883 ","$38,883 "
"Rutgers, The State University of New Jersey, School of Dental Medicine","Tuition, nonresident","$63,001 ","$63,001 ","$63,001 ","$63,001 "
"Rutgers, The State University of New Jersey, School of Dental Medicine",Fees,"$12,080 ","$11,239 ","$7,083 ","$6,985 "
"Rutgers, The State University of New Jersey, School of Dental Medicine","Instruments, books, and supplies","$5,151 ","$2,656 ","$2,122 ",$592 
"Rutgers, The State University of New Jersey, School of Dental Medicine",Estimated living expenses,"$22,100 ","$22,100 ","$24,310 ","$19,890 "
"Rutgers, The State University of New Jersey, School of Dental Medicine","Total, resident","$78,214 ","$74,878 ","$72,398 ","$66,350 "
"Rutgers, The State University of New Jersey, School of Dental Medicine","Total, nonresident","$102,332 ","$98,996 ","$96,516 ","$90,468 "
"Rutgers, The State University of New Jersey, School of Dental Medicine",#5#Notes: ,,,,
Columbia University College of Dental Medicine,"Tuition, resident","$72,378 ","$70,000 ","$70,000 ","$67,840 "
Columbia University College of Dental Medicine,"Tuition, nonresident","$72,378 ","$70,000 ","$70,000 ","$67,840 "
Columbia University College of Dental Medicine,Fees,"$8,340 ","$8,235 ","$8,235 ","$8,235 "
Columbia University College of Dental Medicine,"Instruments, books, and supplies","$5,302 ","$5,742 ","$4,152 ","$7,152 "
Columbia University College of Dental Medicine,Estimated living expenses,"$20,902 ","$22,451 ","$26,686 ","$23,509 "
Columbia University College of Dental Medicine,"Total, resident","$106,922 ","$106,428 ","$109,073 ","$106,736 "
Columbia University College of Dental Medicine,"Total, nonresident","$106,922 ","$106,428 ","$109,073 ","$106,736 "
Columbia University College of Dental Medicine,#5#Notes: ,,,,
New York University College of Dental Medicine,"Tuition, resident","$72,904 ","$72,904 ","$72,904 ","$72,904 "
New York University College of Dental Medicine,"Tuition, nonresident","$72,904 ","$72,904 ","$72,904 ","$72,904 "
New York University College of Dental Medicine,Fees,"$3,120 ","$2,958 ","$2,924 ","$2,818 "
New York University College of Dental Medicine,"Instruments, books, and supplies","$7,516 ","$5,824 ","$7,516 ","$5,824 "
New York University College of Dental Medicine,Estimated living expenses,"$34,342 ","$41,168 ","$41,168 ","$37,966 "
New York University College of Dental Medicine,"Total, resident","$117,882 ","$122,854 ","$124,512 ","$119,512 "
New York University College of Dental Medicine,"Total, nonresident","$117,882 ","$122,854 ","$124,512 ","$119,512 "
New York University College of Dental Medicine,#5#Notes: ,,,,
Stony Brook University School of Dental Medicine,"Tuition, resident","$34,440 ","$34,440 ","$34,440 ","$34,440 "
Stony Brook University School of Dental Medicine,"Tuition, nonresident","$62,950 ","$62,950 ","$62,950 ","$62,950 "
Stony Brook University School of Dental Medicine,Fees,"$1,726 ","$1,726 ","$1,726 ","$1,726 "
Stony Brook University School of Dental Medicine,"Instruments, books, and supplies","$24,137 ","$26,529 ","$17,552 ","$15,332 "
Stony Brook University School of Dental Medicine,Estimated living expenses,"$15,060 ","$15,060 ","$15,060 ","$15,060 "
Stony Brook University School of Dental Medicine,"Total, resident","$75,363 ","$77,755 ","$68,778 ","$66,558 "
Stony Brook University School of Dental Medicine,"Total, nonresident","$103,873 ","$106,265 ","$97,288 ","$95,068 "
Stony Brook University School of Dental Medicine,#5#Notes: ,,,,
Touro College of Dental Medicine at New York Medical College,"Tuition, resident","$50,000 ","$50,000 ","$50,000 ","$50,000 "
Touro College of Dental Medicine at New York Medical College,"Tuition, nonresident","$50,000 ","$50,000 ","$50,000 ","$50,000 "
Touro College of Dental Medicine at New York Medical College,Fees,"$10,000 ","$10,000 ","$10,000 ","$10,000 "
Touro College of Dental Medicine at New York Medical College,"Instruments, books, and supplies","$7,772 ","$7,772 ","$7,772 ","$7,772 "
Touro College of Dental Medicine at New York Medical College,Estimated living expenses,"$27,066 ","$27,066 ","$27,066 ","$27,066 "
Touro College of Dental Medicine at New York Medical College,"Total, resident","$94,838 ","$94,838 ","$94,838 ","$94,838 "
Touro College of Dental Medicine at New York Medical College,"Total, nonresident","$94,838 ","$94,838 ","$94,838 ","$94,838 "
Touro College of Dental Medicine at New York Medical College,#5#Notes: Including health insurance.,,,,
University at Buffalo School of Dental Medicine,"Tuition, resident","$34,610 ","$34,610 ","$34,610 ","$34,610 "
University at Buffalo School of Dental Medicine,"Tuition, nonresident","$64,840 ","$64,840 ","$64,840 ","$64,840 "
University at Buffalo School of Dental Medicine,Fees,"$13,338 ","$12,945 ","$13,035 ","$12,945 "
University at Buffalo School of Dental Medicine,"Instruments, books, and supplies","$8,988 ","$7,753 ","$6,011 ","$1,751 "
University at Buffalo School of Dental Medicine,Estimated living expenses,"$18,721 ","$18,721 ","$18,721 ","$18,721 "
University at Buffalo School of Dental Medicine,"Total, resident","$75,657 ","$74,029 ","$72,377 ","$68,027 "
University at Buffalo School of Dental Medicine,"Total, nonresident","$105,887 ","$104,259 ","$102,607 ","$98,257 "
University at Buffalo School of Dental Medicine,#5#Notes: ,,,,
East Carolina University School of Dental Medicine,"Tuition, resident","$26,629 ","$26,629 ","$26,629 ","$17,700 "
East Carolina University School of Dental Medicine,"Tuition, nonresident",NA,NA,NA,NA
East Carolina University School of Dental Medicine,Fees,"$6,769 ","$6,769 ","$6,769 ","$5,304 "
East Carolina University School of Dental Medicine,"Instruments, books, and supplies","$8,231 ","$6,499 ","$5,069 ","$4,521 "
East Carolina University School of Dental Medicine,Estimated living expenses,"$23,796 ","$23,796 ","$25,085 ","$18,443 "
East Carolina University School of Dental Medicine,"Total, resident","$65,425 ","$63,693 ","$63,553 ","$45,968 "
East Carolina University School of Dental Medicine,"Total, nonresident",NA,NA,NA,NA
East Carolina University School of Dental Medicine,#5#Notes: ,,,,
University of North Carolina at Chapel Hill School of Dentistry,"Tuition, resident","$34,065 ","$34,765 ","$34,665 ","$31,065 "
University of North Carolina at Chapel Hill School of Dentistry,"Tuition, nonresident","$67,246 ","$70,672 ","$70,183 ","$52,561 "
University of North Carolina at Chapel Hill School of Dentistry,Fees,"$7,162 ","$7,327 ","$3,789 ","$3,178 "
University of North Carolina at Chapel Hill School of Dentistry,"Instruments, books, and supplies","$1,442 ","$1,442 ","$1,442 ","$1,442 "
University of North Carolina at Chapel Hill School of Dentistry,Estimated living expenses,"$17,510 ","$17,510 ","$17,510 ","$17,510 "
University of North Carolina at Chapel Hill School of Dentistry,"Total, resident","$60,179 ","$61,044 ","$57,406 ","$53,195 "
University of North Carolina at Chapel Hill School of Dentistry,"Total, nonresident","$93,360 ","$96,951 ","$92,924 ","$74,691 "
University of North Carolina at Chapel Hill School of Dentistry,#5#Notes: ,,,,
Case Western Reserve University School of Dental Medicine,"Tuition, resident","$64,660 ","$65,609 ","$67,515 ","$67,515 "
Case Western Reserve University School of Dental Medicine,"Tuition, nonresident","$64,660 ","$65,609 ","$67,515 ","$67,515 "
Case Western Reserve University School of Dental Medicine,Fees,"$1,113 ","$1,058 ","$1,030 ","$1,030 "
Case Western Reserve University School of Dental Medicine,"Instruments, books, and supplies","$16,526 ","$10,146 ","$2,442 ","$2,761 "
Case Western Reserve University School of Dental Medicine,Estimated living expenses,"$20,322 ","$20,322 ","$24,447 ","$24,447 "
Case Western Reserve University School of Dental Medicine,"Total, resident","$102,621 ","$97,135 ","$95,434 ","$95,753 "
Case Western Reserve University School of Dental Medicine,"Total, nonresident","$102,621 ","$97,135 ","$95,434 ","$95,753 "
Case Western Reserve University School of Dental Medicine,#5#Notes: ,,,,
The Ohio State University College of Dentistry,"Tuition, resident","$33,934 ","$44,859 ","$44,859 ","$44,859 "
The Ohio State University College of Dentistry,"Tuition, nonresident","$73,134 ","$98,999 ","$98,999 ","$98,999 "
The Ohio State University College of Dentistry,Fees,NA,NA,NA,NA
The Ohio State University College of Dentistry,"Instruments, books, and supplies","$6,088 ","$6,660 ","$5,400 ","$5,079 "
The Ohio State University College of Dentistry,Estimated living expenses,"$17,628 ","$24,684 ","$24,684 ","$24,684 "
The Ohio State University College of Dentistry,"Total, resident","$57,650 ","$76,203 ","$74,943 ","$74,622 "
The Ohio State University College of Dentistry,"Total, nonresident","$96,850 ","$130,343 ","$129,083 ","$128,762 "
The Ohio State University College of Dentistry,#5#Notes: ,,,,
University of Oklahoma College of Dentistry,"Tuition, resident","$22,916 ","$22,916 ","$22,916 ","$22,916 "
University of Oklahoma College of Dentistry,"Tuition, nonresident","$54,392 ","$54,392 ","$54,392 ","$54,392 "
University of Oklahoma College of Dentistry,Fees,"$3,095 ","$3,095 ","$2,857 ","$2,857 "
University of Oklahoma College of Dentistry,"Instruments, books, and supplies","$17,273 ","$13,293 ","$3,613 ","$4,200 "
University of Oklahoma College of Dentistry,Estimated living expenses,"$27,901 ","$27,901 ","$27,901 ","$27,901 "
University of Oklahoma College of Dentistry,"Total, resident","$71,185 ","$67,205 ","$57,287 ","$57,874 "
University of Oklahoma College of Dentistry,"Total, nonresident","$102,661 ","$98,681 ","$88,763 ","$89,350 "
University of Oklahoma College of Dentistry,#5#Notes: ,,,,
Oregon Health & Science University School of Dentistry,"Tuition, resident","$43,016 ","$40,203 ","$41,880 ","$41,428 "
Oregon Health & Science University School of Dentistry,"Tuition, nonresident","$69,432 ","$64,891 ","$67,666 ","$67,292 "
Oregon Health & Science University School of Dentistry,Fees,"$2,116 ","$2,116 ","$2,116 ","$2,116 "
Oregon Health & Science University School of Dentistry,"Instruments, books, and supplies","$14,183 ","$10,642 ","$7,933 ","$7,155 "
Oregon Health & Science University School of Dentistry,Estimated living expenses,"$19,085 ","$19,085 ","$19,085 ","$19,085 "
Oregon Health & Science University School of Dentistry,"Total, resident","$76,284 ","$69,930 ","$68,898 ","$67,736 "
Oregon Health & Science University School of Dentistry,"Total, nonresident","$102,700 ","$94,618 ","$94,684 ","$93,560 "
Oregon Health & Science University School of Dentistry,#5#Notes: ,,,,
"The Maurice H. Kornberg School of Dentistry, Temple University","Tuition, resident","$53,042 ","$53,042 ","$53,042 ","$53,042 "
"The Maurice H. Kornberg School of Dentistry, Temple University","Tuition, nonresident","$61,658 ","$60,414 ","$62,392 ","$68,726 "
"The Maurice H. Kornberg School of Dentistry, Temple University",Fees,$790 ,$790 ,$790 ,$790 
"The Maurice H. Kornberg School of Dentistry, Temple University","Instruments, books, and supplies","$9,500 ","$8,380 ","$6,100 ","$6,500 "
"The Maurice H. Kornberg School of Dentistry, Temple University",Estimated living expenses,"$22,230 ","$24,376 ","$24,376 ","$20,360 "
"The Maurice H. Kornberg School of Dentistry, Temple University","Total, resident","$85,562 ","$86,588 ","$84,308 ","$80,692 "
"The Maurice H. Kornberg School of Dentistry, Temple University","Total, nonresident","$94,178 ","$95,204 ","$92,924 ","$89,308 "
"The Maurice H. Kornberg School of Dentistry, Temple University",#5#Notes: ,,,,
University of Pennsylvania School of Dental Medicine,"Tuition, resident","$71,100 ","$71,100 ","$71,100 ","$71,100 "
University of Pennsylvania School of Dental Medicine,"Tuition, nonresident","$71,100 ","$71,100 ","$71,100 ","$71,100 "
University of Pennsylvania School of Dental Medicine,Fees,"$4,322 ","$4,322 ","$4,322 ","$4,322 "
University of Pennsylvania School of Dental Medicine,"Instruments, books, and supplies","$19,498 ","$15,144 ","$19,120 ","$16,239 "
University of Pennsylvania School of Dental Medicine,Estimated living expenses,"$18,356 ","$20,306 ","$20,306 ","$18,355 "
University of Pennsylvania School of Dental Medicine,"Total, resident","$113,876 ","$111,472 ","$115,448 ","$110,616 "
University of Pennsylvania School of Dental Medicine,"Total, nonresident","$113,876 ","$111,472 ","$115,448 ","$110,616 "
University of Pennsylvania School of Dental Medicine,#5#Notes: ,,,,
University of Pittsburgh School of Dental Medicine,"Tuition, resident","$44,878 ","$44,878 ","$44,878 ","$44,878 "
University of Pittsburgh School of Dental Medicine,"Tuition, nonresident","$52,686 ","$52,686 ","$52,686 ","$52,686 "
University of Pittsburgh School of Dental Medicine,Fees,"$1,110 ","$1,110 ","$1,110 ","$1,110 "
University of Pittsburgh School of Dental Medicine,"Instruments, books, and supplies","$14,600 ","$10,524 ","$8,238 ","$4,864 "
University of Pittsburgh School of Dental Medicine,Estimated living expenses,"$25,150 ","$25,150 ","$25,150 ","$25,150 "
University of Pittsburgh School of Dental Medicine,"Total, resident","$85,738 ","$81,662 ","$79,376 ","$76,002 "
University of Pittsburgh School of Dental Medicine,"Total, nonresident","$93,546 ","$89,470 ","$87,184 ","$83,810 "
University of Pittsburgh School of Dental Medicine,#5#Notes: ,,,,
University of Puerto Rico School of Dental Medicine,"Tuition, resident","$9,495 ","$9,101 ","$8,751 ","$8,415 "
University of Puerto Rico School of Dental Medicine,"Tuition, nonresident",See Note below.,,,
University of Puerto Rico School of Dental Medicine,"Tuition, international","$18,377 ","$18,377 ","$18,377 ","$18,377 "
University of Puerto Rico School of Dental Medicine,Fees,$414 ,$381 ,$612 ,$249 
University of Puerto Rico School of Dental Medicine,"Instruments, books, and supplies","$11,534 ","$10,929 ","$3,193 ","$1,966 "
University of Puerto Rico School of Dental Medicine,Estimated living expenses,"$13,483 ","$14,396 ","$14,481 ","$13,398 "
University of Puerto Rico School of Dental Medicine,"Total, resident","$34,926 ","$34,807 ","$27,037 ","$24,028 "
University of Puerto Rico School of Dental Medicine,"Total, nonresident",See Note below.,,,
University of Puerto Rico School of Dental Medicine,"Total, international","$43,808 ","$44,083 ","$36,663 ","$33,990 "
University of Puerto Rico School of Dental Medicine,#5#Notes: Tuition for nonresidents determined according to geographical residence of applicant.,,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Tuition, resident","$47,150 ","$34,300 ","$47,150 ","$47,150 "
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Tuition, nonresident","$82,825 ","$60,000 ","$82,825 ","$82,825 "
Medical University of South Carolina James B. Edwards College of Dental Medicine,Fees,"$21,295 ","$20,045 ","$20,085 ","$20,085 "
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Instruments, books, and supplies","$3,107 ","$1,800 ","$4,395 ","$2,895 "
Medical University of South Carolina James B. Edwards College of Dental Medicine,Estimated living expenses,"$16,008 ","$13,340 ","$16,008 ","$16,008 "
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Total, resident","$87,560 ","$69,485 ","$87,638 ","$86,138 "
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Total, nonresident","$123,235 ","$95,185 ","$123,313 ","$121,813 "
Medical University of South Carolina James B. Edwards College of Dental Medicine,#5#Notes: ,,,,
Meharry Medical College School of Dentistry,"Tuition, resident","$52,407 ","$49,417 ","$49,417 ","$49,732 "
Meharry Medical College School of Dentistry,"Tuition, nonresident","$52,407 ","$49,417 ","$49,417 ","$49,732 "
Meharry Medical College School of Dentistry,Fees,"$5,405 ","$4,925 ","$4,640 ","$4,650 "
Meharry Medical College School of Dentistry,"Instruments, books, and supplies","$6,725 ","$14,400 ","$5,250 ","$1,850 "
Meharry Medical College School of Dentistry,Estimated living expenses,"$30,171 ","$27,560 ","$28,025 ","$26,243 "
Meharry Medical College School of Dentistry,"Total, resident","$94,708 ","$96,302 ","$87,332 ","$82,475 "
Meharry Medical College School of Dentistry,"Total, nonresident","$94,708 ","$96,302 ","$87,332 ","$82,475 "
Meharry Medical College School of Dentistry,#5#Notes: ,,,,
University of Tennessee Health Science Center College of Dentistry,"Tuition, resident","$29,016 ","$29,016 ","$29,016 ","$29,016 "
University of Tennessee Health Science Center College of Dentistry,"Tuition, nonresident","$68,682 ","$68,682 ","$68,682 ","$68,682 "
University of Tennessee Health Science Center College of Dentistry,Fees,"$12,654 ","$15,739 ","$10,179 ","$9,379 "
University of Tennessee Health Science Center College of Dentistry,"Instruments, books, and supplies","$1,746 ",$746 ,$746 ,$746 
University of Tennessee Health Science Center College of Dentistry,Estimated living expenses,"$21,318 ","$23,256 ","$23,256 ","$21,318 "
University of Tennessee Health Science Center College of Dentistry,"Total, resident","$64,734 ","$68,757 ","$63,197 ","$60,459 "
University of Tennessee Health Science Center College of Dentistry,"Total, nonresident","$104,400 ","$108,423 ","$102,683 ","$100,125 "
University of Tennessee Health Science Center College of Dentistry,#5#Notes: ,,,,
Texas A&M University College of Dentistry,"Tuition, resident","$19,120 ","$18,288 ","$18,288 ","$18,288 "
Texas A&M University College of Dentistry,"Tuition, nonresident","$29,920 ","$29,088 ","$29,088 ","$29,088 "
Texas A&M University College of Dentistry,Fees,"$9,206 ","$9,142 ","$9,641 ","$9,641 "
Texas A&M University College of Dentistry,"Instruments, books, and supplies","$3,309 ","$3,928 ","$2,326 ",$920 
Texas A&M University College of Dentistry,Estimated living expenses,"$26,259 ","$22,406 ","$26,261 ","$28,751 "
Texas A&M University College of Dentistry,"Total, resident","$57,894 ","$53,764 ","$56,516 ","$57,600 "
Texas A&M University College of Dentistry,"Total, nonresident","$68,694 ","$64,564 ","$67,316 ","$68,400 "
Texas A&M University College of Dentistry,#5#Notes: ,,,,
University of Texas Health Science Center at San Antonio School of Dentistry,"Tuition, resident","$24,150 ","$24,150 ","$18,150 ","$18,150 "
University of Texas Health Science Center at San Antonio School of Dentistry,"Tuition, nonresident","$34,950 ","$34,950 ","$28,950 ","$28,950 "
University of Texas Health Science Center at San Antonio School of Dentistry,Fees,"$6,591 ","$5,385 ","$5,255 ","$5,255 "
University of Texas Health Science Center at San Antonio School of Dentistry,"Instruments, books, and supplies","$7,705 ","$2,975 ","$1,965 ","$1,950 "
University of Texas Health Science Center at San Antonio School of Dentistry,Estimated living expenses,"$26,726 ","$28,956 ","$28,956 ","$26,726 "
University of Texas Health Science Center at San Antonio School of Dentistry,"Total, resident","$65,172 ","$61,916 ","$54,326 ","$52,081 "
University of Texas Health Science Center at San Antonio School of Dentistry,"Total, nonresident","$75,972 ","$72,716 ","$65,126 ","$62,881 "
University of Texas Health Science Center at San Antonio School of Dentistry,#5#Notes: ,,,,
University of Texas School of Dentistry at Houston,"Tuition, resident","$25,382 ","$25,382 ","$19,382 ","$19,382 "
University of Texas School of Dentistry at Houston,"Tuition, nonresident","$36,974 ","$36,974 ","$30,974 ","$30,974 "
University of Texas School of Dentistry at Houston,Fees,"$6,461 ","$5,961 ","$6,836 ","$6,911 "
University of Texas School of Dentistry at Houston,"Instruments, books, and supplies","$9,212 ","$6,667 ",$380 ,$530 
University of Texas School of Dentistry at Houston,Estimated living expenses,"$25,598 ","$25,598 ","$25,598 ","$25,598 "
University of Texas School of Dentistry at Houston,"Total, resident","$66,653 ","$63,608 ","$52,196 ","$52,421 "
University of Texas School of Dentistry at Houston,"Total, nonresident","$78,245 ","$75,200 ","$63,788 ","$64,013 "
University of Texas School of Dentistry at Houston,#5#Notes: ,,,,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Tuition, resident","$70,560 ","$70,560 ","$70,560 ","$70,560 "
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Tuition, nonresident","$70,560 ","$70,560 ","$70,560 ","$70,560 "
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Fees,"$6,772 ","$3,775 ","$3,775 ","$3,975 "
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Instruments, books, and supplies","$12,918 ","$11,076 ","$9,060 ","$9,060 "
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Estimated living expenses,"$31,900 ","$33,847 ","$34,232 ","$25,126 "
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Total, resident","$122,150 ","$119,258 ","$117,627 ","$108,721 "
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Total, nonresident","$122,150 ","$119,258 ","$117,627 ","$108,721 "
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",#5#Notes: ,,,,
University of Utah School of Dentistry,"Tuition, resident","$36,387 ","$36,387 ","$36,387 ","$36,387 "
University of Utah School of Dentistry,"Tuition, nonresident","$68,887 ","$68,887 ","$68,887 ","$68,887 "
University of Utah School of Dentistry,Fees,"$1,674 ","$1,674 ","$1,674 ","$1,674 "
University of Utah School of Dentistry,"Instruments, books, and supplies","$21,682 ","$21,682 ","$21,682 ","$16,624 "
University of Utah School of Dentistry,Estimated living expenses,"$13,248 ","$13,248 ","$13,248 ","$11,196 "
University of Utah School of Dentistry,"Total, resident","$72,991 ","$72,991 ","$72,991 ","$65,881 "
University of Utah School of Dentistry,"Total, nonresident","$105,491 ","$105,491 ","$105,491 ","$98,381 "
University of Utah School of Dentistry,#5#Notes: ,,,,
Virginia Commonwealth University School of Dentistry,"Tuition, resident","$34,955 ","$34,955 ","$34,955 ","$34,955 "
Virginia Commonwealth University School of Dentistry,"Tuition, nonresident","$61,594 ","$61,594 ","$61,594 ","$61,594 "
Virginia Commonwealth University School of Dentistry,"Tuition, International Dentist Program",NA,"$80,340 ","$80,340 ","$80,340 "
Virginia Commonwealth University School of Dentistry,"Fees, resident","$13,971 ","$11,656 ","$11,440 ","$11,440 "
Virginia Commonwealth University School of Dentistry,"Fees, nonresident","$14,596 ","$12,281 ","$12,065 ","$12,065 "
Virginia Commonwealth University School of Dentistry,"Fees, International Dentist Program",NA,"$17,902 ","$11,440 ","$11,440 "
Virginia Commonwealth University School of Dentistry,"Instruments, books, and supplies","$4,000 ","$2,680 ","$1,585 ","$4,295 "
Virginia Commonwealth University School of Dentistry,Estimated living expenses,"$17,764 ","$17,764 ","$17,764 ","$16,150 "
Virginia Commonwealth University School of Dentistry,"Total, resident","$70,690 ","$67,055 ","$65,744 ","$66,840 "
Virginia Commonwealth University School of Dentistry,"Total, nonresident","$97,954 ","$94,319 ","$93,008 ","$94,104 "
