section,Curriculum,Curriculum
University of North Carolina at Chapel Hill School of Dentistry,"The program consists of eight semesters of 16 weeks each, plus three required 10-week summer semesters. Most students meet the degree requirements in four years; circumstances may necessitate an extended period of study.
The first year includes basic science core courses, introductory dental sciences and introduction to patient management. Students begin patient care in the summer of the first year. During the second year, students continue taking biological science courses, and the next series of dental science and health care delivery systems courses. They also assume full patient care privileges, begin delivering comprehensive care services, and are responsible for providing both therapeutic and preventive treatment for their patients.
In the third year, students spend a significant amount of time providing comprehensive care for their patients. A series of intermediate dental science courses are offered. During the summer of their third year, students complete two required externships (community and hospital settings) at in-state and out-of-state extramural sites. In a mentored, general dentistry group practice, fourth-year students assume responsibility for patients requiring more advanced dental care. Advanced dental science courses, updates and practice-related material are offered during the fourth year.",Yes
Case Western Reserve University School of Dental Medicine,"CWRU SDM has created the new model for dental education. The unique curriculum is grounded in principles that exemplify educational formats embracing experiential learning. Key features of our curriculum are small group learning environments where students retain responsibility for learning; time allocated for independent study, integration of concepts and reflection; and cornerstone experiences that integrate multiple content areas in powerful learning scenarios within the school and the larger community.",Yes
The Ohio State University College of Dentistry,"The D.D.S. curriculum includes 11 semesters of instruction over four years, including three summer sessions. During the first and second years, an emphasis is placed on the basic sciences and preclinical dentistry courses, including didactic and laboratory instruction. Students also participate in early clinic experiences beginning their first academic term.
During the third and fourth years, the focus shifts to patient treatment experiences. Students provide treatment in one of the college’s eight comprehensive care clinic groups, with approximately 25 students assigned to each group. Additionally, students receive a wide range of experiences with oversight provided by general practitioners and dental specialists.
Students have many opportunities to treat patients with special needs, and they also rotate through several specialty clinics and areas in which they have an opportunity to use cuttingedge technology. During the fourth year, students spend 10 weeks treating patients in external clinics that are primarily located in Ohio’s underserved communities. All instruction emphasizes patient-centered, evidence-based care.
Throughout the curriculum, instruction includes a blend of in-person (large and small group) presentations and online delivery. The curriculum also includes coursework in other areas essential to provision of oral health care, such as communication skills and practice management.",Yes
University of Oklahoma College of Dentistry,"The curriculum integrates theory, applied technique and clinical experience. The early curriculum develops a solid foundation in both the biomedical sciences and dental sciences. As students progress in the program, instruction shifts to hands-on, preclinical exercises teaching students to perform procedures in a laboratory or simulated patient environments. By year 3, students learn more sophisticated aspects of dental care and spend substantially more time treating patients, under faculty supervision. In year 4, the curriculum emphasizes comprehensive patient management and treatment.
Starting in year 1, and continuing throughout the four years, the curriculum presents opportunities for students to interact with patients and provide appropriate care commensurate with their advancing level of experience and expertise. These opportunities are a hallmark of the College of Dentistry’s curriculum and undergird our reputation for providing an excellent clinical education with a strong patient contact component. Competency assessments and overall clinical requirements ensure that students attain appropriate skill levels and experience a sufficient number of practice opportunities to develop clinical proficiency.
The curriculum addresses knowledge and development in other areas—including direct service-outreach, research and scholarship, and practice management—key to preparing graduates for roles as responsible health care professionals.",Yes
Oregon Health & Science University School of Dentistry,"Year 1 provides an integrated approach to teaching the basic sciences. Students learn the fundamentals of oral radiology, dental materials, restorative dentistry, periodontology and prevention of dental disease.
Year 2, which emphasizes dental technique skills development, includes didactic and laboratory courses in facial growth, prosthodontics, oral surgery, periodontology, endodontology and dental materials application.
Years 3 and 4 emphasize clinical practice supported by lecture and seminar sessions covering oral disease diagnosis, treatment planning and clinical treatment procedures. Dental students may also participate in supervised off-campus educational experiences and are encouraged to strengthen personal qualities to meet patient needs and professional standards. The school fosters high ethical and moral values, a liking for people and unselfish service, human relations and communications skills, and a broad understanding of community and national health goals.
Through OHSU’s Interprofessional Initiative (IPI), students work collaboratively across university schools and programs to build an interprofessional education (IPE) model that makes team-based, patient-centered care the new standard. OHSU IPI prepares OHSU students to work together to build a safer and more effective patient-centered and communityoriented health care system within Oregon and across the nation, ultimately impacting the health and well-being of populations worldwide.",Yes
"The Maurice H. Kornberg School of Dentistry, Temple University","The primary emphasis of the predoctoral program is to prepare graduates for the general practice of dentistry. The curriculum provides students with significant experience in all phases of dental practice and instills the basic science and patient management skills they will rely on as dental practitioners. The curriculum also lays a solid foundation for careers in the specialties of dentistry, dental education and research.",Yes
University of Pennsylvania School of Dental Medicine,"Four-week summer sessions between years 2 and 3 and between years 3 and 4 are mandatory. Year 1 continues through June. The basic science courses are taught during years 1 and 2 through lectures, seminars and laboratory experiences. Clinical training begins with dental health education in community settings and dental assisting in year 1 and continuing through year 2. 
Years 3 and 4 emphasize the practice of general dentistry, and fourth-year students gain additional clinical skills in a hospital setting through a four-week externship. The basic and clinical sciences are integrated throughout the four years. Program highlights include an offering of more than 40 elective courses during years 2, 3 and 4; a community service component; interdisciplinary dual degree programs; an optional international externship during year 4; and honors programs in clinical, community dentistry, oral medicine, radiology and research for eligible students.
Penn Dental Medicine views scholarship as a central component of excellence in instruction and patient care and places a high priority on research. With its own basic science faculty (unusual among dental schools nationwide), the school’s research enterprise is multidisciplinary, spanning both the basic and clinical sciences and offering many student research opportunities.",Yes
University of Pittsburgh School of Dental Medicine,"Pitt SDM combines rigorous classroom instruction with innovative hands-on experience in a clinical setting. Students in the first and second years train in state-of-the-art simulation clinics, balanced with a mix of traditional classroom lectures and small group situations. Third- and fourth-year students simulate private practice in module clinics under close supervision of clinical faculty. Students are encouraged to individualize their programs through elective courses in their third and fourth years. Elective study may range from a minimum of two courses to any number the student feels he or she can schedule comfortably. Additionally, clinical practice and social perspectives are expanded through elective study; the program provides opportunities for enrichment through electives at off-campus sites.",Yes
University of Puerto Rico School of Dental Medicine,"Year 1: Basic science with introduction to clinic situations.
• Year 2: Continuation of basic science and technical courses.
• Year 3: Clinic rotations through each of the different disciplines in dentistry.
• Year 4: Delivery of comprehensive dental care under conditions that approximate private practice, with extramural community programs in locations nationwide.
• Dental egree ffered: D.M.D.",Yes
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Year 1 – Basic sciences and preclinical dental courses • Year 2 – Additional basic science courses and preclinical courses • Year 3 – Clinical instruction and patient treatment in all disciplines • Year 4 – Clinical instruction, patient treatment and extramural rotations; senior seminars for treatment planning, implantology and practice administration.",Yes
Meharry Medical College School of Dentistry,"Meharry SOD’s curriculum combines both educational tradition and innovation that allow students the ability to develop the appropriate foundation of knowledge and skills that will enable them to become the best in their respective dental specialties. The educational program of the School of Dentistry is composed of a multifaceted curriculum, which includes  both independent and collaborative learning, and an iterative instructional pattern that ensures a sound knowledge base in general dentistry. Instructional efforts strike a balance between cognitive/intellective preparation, practical application and the inculcation of professional ethical standards.
• Year 1: Most academic effort is devoted to basic sciences.
• Year 2: Preclinical courses are emphasized to prepare students for the clinical diagnosis and treatment of patients.
• Years 3 and 4: The final two years are devoted to clinical instruction.",Yes
University of Tennessee Health Science Center College of Dentistry,"The educational philosophy of the UTHSC COD is to provide opportunities for students to learn how to think in a problem-solving manner. The principal objective of the curriculum is to graduate a general practitioner who is professional, ethical, people-oriented, knowledgeable and skillful in delivering comprehensive patient care. The basic sciences are presented in carefully planned lecture/laboratory procedures by each department. However, selected segments of material have been combined into interdepartmental team teaching programs. Students are oriented to clinical activities in the first year, and delivery of patient care begins in the second year. Comprehensive, total patient care is delivered in individual student cubicles. Basic science and clinical science faculty members use a team approach to teaching in some general areas, such as growth and development, oral diagnosis and pain control.",Yes
Texas A&M University College of Dentistry,"Our comprehensive clinical curriculum prepares our graduates for general practice and specialty programs, as well as academic, administrative and public service dentistry. 
• Year D1: Emphasis on basic science courses; introduction to clinics with rotations for observation; preclinical technique courses. The summer break after the first year allows time for an optional research and/or clinical experience.
• Year D2: Emphasis on preclinical technique instruction in a simulated clinic environment optimizes the transition to the clinics; introduction to practice management and clinic computer systems; beginnings of preliminary patient treatment.
• Year D3: Continuation of clinical dentistry studies and direct patient treatment within a discipline-supervised comprehensive care clinic.
• Year D4: General dentistry program encompassing comprehensive patient care with advanced procedures and approximating private practice; extramural rotations and selective courses allowing for experience in specialty areas.
Courses in evidence-based dentistry, professional ethics, and cultural competency enhance the clinically focused curriculum.",Yes
University of Texas Health Science Center at San Antonio School of Dentistry,The educational program embraces the philosophy of comprehensive care. Dental preclinical courses begin the freshman year so that a significant component of patient care may be incorporated into the sophomore year. Clinical patient care and research activities for students are emphasized in our program. An electronic curriculum support system uses a specifically configured laptop computer to access current information through integrated multimedia searches. The ability to access information in real time is an important feature of the curriculum and directly supports the school’s mission of developing forward-thinking dentists capable of independent learning throughout their practicing careers.,Yes
University of Texas School of Dentistry at Houston,"The curriculum utilizes a basic lecture system that is supplemented with seminars, discussion groups, laboratories/simulation and online resources. There is intentional integration of basic science material into preclinical and clinical disciplines to ensure  development of sound critical thinking and clinical skills. First exposure to clinic occurs in the first year, and responsibility for comprehensive patient care begins the fall semester of second year.
• Year 1: Basic and preclinical sciences with introduction to clinical situations.
• Year 2: Continuation of basic sciences and clinical courses plus definitive clinical patient treatment.
• Year 3: Didactic clinical sciences and clinical care within vertically integrated practices.
• Year 4: Didactic clinical sciences and delivery of comprehensive dental care in a competency-based, vertically integrated group practice and community-based environment.",Yes
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Roseman University of Health Sciences is committed to the following educational strategies: mastery learning, unique classroom complex, block curriculum, outcomes-based education, active and collaborative learning, contemporary technology and clinics.
With an emphasis on student-centered active learning, Roseman CODM teaches using the block curriculum system rather than the traditional semester/quarter system. This system allows students to concentrate on one or two didactic subjects at a time, enabling them to attain mastery of the content. Roseman CODM’s assessment model enables faculty to intervene at the time help is needed resulting in high achievement rates. Faculty members provide varied instructional activities that both support active learning techniques and strategies and accommodate different learning styles.
Roseman CODM’s classroom complexes have been designed to emphasize active and collaborative learning, as well as support the use of advanced technology in instructional activities. The design produces an inclusive classroom atmosphere—one that allows the instructor to engage students directly and one in which students can see and interact with their classmates, encouraging student involvement and participation.
Detailed information about the classroom complex design, mastery learning and the block curriculum is available at http://www.roseman.edu/ under Educational Philosophy.",Yes
University of Utah School of Dentistry,"U of U SOD will combine dental education innovations with traditional methods. Professionalism and ethical conduct will be the core elements in providing quality, comprehensive dental care to our patients. The program will provide students with an excellent clinical education in our dental clinics and the university’s community clinics.
The curriculum—based on progressively presenting oral health topics and subjects of increasing depth and complexity—will support academic excellence in the oral health sciences through professional interaction with other disciplines such as medicine and pharmacy. All of the requirements of a traditional dentistry program are fulfilled in the first three years.
The fourth year maximizes clinical experience at advanced levels of training and patient care.This first-of-its-kind curriculum prepares students for the rigors of residency programs and a more productive start to private practice. Academic training takes place in our Oral Health Sciences Education Building, which includes lecture and seminar rooms, technique and simulation labs and comprehensive and specialty care clinics.
In addition to clinical experiences in our building, students participate in community and mobile clinics reaching out to Utah’s underserved populations. The school promotes research to enhance knowledge, advance oral health and transition findings to the practice of dentistry.",Yes
Virginia Commonwealth University School of Dentistry,"The curriculum incorporates the basic sciences, preclinical sciences and clinical skills experiences to develop competent practitioners who are lifelong learners.
Students begin their preclinical skills development as early as the first semester of their first-year curriculum, utilizing virtual-reality type simulation. A continuing skills development program progresses throughout the first and second years. Patient treatment progresses from hygiene re-care appointments in the first year into a comprehensive treatment planning appointment by the end of the second year.
During the third year, students reinforce clinical skill development in each of the dental specialties and general practice clinics. Clinical rotations are included to provide students a broad experience in patient management and treatment. During the fourth year, the multidisciplinary practice group model of our clinical component provides a diverse patient population for a variety of dental treatments.
Our patient-centered clinical emphasis, including rural community-based clinics and elective courses in the school’s specialty clinics, promote a strong clinical experience and provides a culturally competent environment to our students. Our integrated preclinical and clinical curriculum educates dental professionals in critical thinking, professionalism and practice management. The hallmark of our program is clinical dentistry, while our strength is our student body.",Yes
University of Washington School of Dentistry,"To better serve this next generation of dentists, we have refined and elevated our curriculum. It now is organized around a collection of “threads” that encompass the core competencies of general dentistry. These threads not only will inform first- and second-year instruction, but also link to our new system of third-year clerkships and our new fourth-year general practice model designed to duplicate the real world of private practice.
Our new curriculum will shape the dentist of the future into an effective advocate for 21st century patients while also keeping the university at the forefront of dental education. This is an exciting time to be part of our great School of Dentistry.
Our individual curricular threads are
• Foundations of Human Health and Disease
• Dental and Maxillofacial Surgery
• Medical Management of the Dental Patient
• Dental Practice Management
• Health Promotion and Disease Prevention & Communication
• Ethics and Professionalism
• Critical Thinking
• Care of Diverse Populations
• Restoration of Form and Function.",Yes
West Virginia University School of Dentistry,"WVU SOD recognizes its obligation to produce professionals capable of meeting the oral health needs of the public and providing leadership for the dental profession. The school offers a four-year program leading to the D.D.S. and provides students with a dynamic learning environment in which to develop the technical competence, intellectual capacity and professional responsibility necessary to meet the oral health needs of a globally diverse society in a state of constant transformation.
The predoctoral curriculum comprises eight semesters and three summer sessions. Students are enrolled in courses designed primarily to prepare them for the general practice of dentistry. Student progress is monitored regularly by the Academic and Professional Standards Committee and a team leader program, which exists to ensure students have varied and appropriate learning experiences to achieve competency and to provide comprehensive health care to a family of patients.
Training is provided in a humanistic learning environment with state-of-the-art technology, including electronic health records, digital radiography, digital implant planning and dental simulation technology. Students actively engage in outreach to local, state, regional and global communities. Dynamic educational, service and research experiences help students become clinically competent and culturally aware oral health professionals.",Yes
Marquette University School of Dentistry,"Marquette University School of Dentistry’s competency-based dental curriculum develops the skills and knowledge students need to successfully enter their profession. The curriculum, which also impresses on students an understanding of the responsibility of delivering oral health care in an ethical manner, embraces a patient-centered, comprehensive care model. This model emphasizes active student learning, a mentoring/modeling role for faculty and a clinical environment that closely matches the practice of dentistry in the community. To support this educational model, faculty continuously develop their skills as scholars and educators, leading to recognition as innovators in educational design and instruction.",Yes
University of Alberta School of Dentistry ,"The School of Dentistry offers a four-year D.D.S. program, a two-year Advanced Placement Program for dentistry graduates of nonaccredited dental programs, a Dental Hygiene Diploma program, a Bachelor of Science (Dental Hygiene Specialization) degree and a Master of Science in Orthodontics (two-year program). The first and second years of the dental program are combined with the M.D. program. The curriculum is taught in blocks and covers such areas as infection; immunity and inflammation; endocrine system; cardiovascular, pulmonary and renal systems; gastroenterology and nutrition; musculoskeletal system; neurosciences; and oncology. In addition to bedside and operating instruction in medicine and surgery, junior and senior students are assigned to School of Dentistry dental clinic and University of Alberta Hospital.",Yes
University of British Columbia Faculty of Dentistry ,"The objective of the academic program is to prepare dentists who are able to practice their profession with a high degree of technical skill and competence, based on a sound understanding of the fundamental principles of basic biological sciences that underlie the practice of dentistry, and who have acquired a deep insight into their social, professional and ethical responsibilities to the community at large. Students are given clinic exposure early in the program, and actual clinical instruction begins during the second half of the second year. Clinical and patient-management skills are developed through participation in integrated group practices of students managed by a faculty member.",Yes
University of Manitoba College of Dentistry ,"The Doctor of Dental Medicine (D.M.D.) program is a fully accredited four-year program. Following a minimum of two years of prerequisite studies, students complete four years of intense study including extensive clinical experience. The D.M.D. degree provides the foundation for a variety of career pathways, including further training in dental specialties and research.
Over the course of the curriculum, emphasis shifts from teaching to learning, from guided to independent performance, from gaining knowledge in the foundation sciences and skills in the labs to treating patients in a simulated-practice setting working with dental hygiene student partners.
Upon successful completion of the National Dental Examining Board of Canada examination, graduates can apply for license to practice in all provinces of Canada; however, other jurisdictions, both in Canada and the United States, have additional licensing requirements.",Yes
Dalhousie University Faculty of Dentistry ,"The Dalhousie University Faculty of Dentistry program features clinical experiences beginning in the first year of the program with instruction in digital radiography and electronic patient records.
The curriculum integrates the biological, behavioral and dental sciences with introduction to patient treatment starting the first year. This major emphasis on the biological and behavioral sciences as applied to clinical dentistry with basic foundation sciences continues in the third and fourth years at advanced 
Clinical patient treatment receives greater emphasis in the second year, with continued emphasis on integration of the biological and behavioral sciences. Students practice a total-patient-care philosophy in the third- and fourth-year clinic, within clinicaloriented disciplines.
Students are provided with laptop computers in the first year of the program, and all textbooks are included in searchable electronic formats.",Yes
University of Toronto Faculty of Dentistry ,"Dental education is designed to unify the basic and clinical sciences, as it is believed that scientific and professional development cannot be sharply differentiated but shouldproceed concurrently throughout the dental program.
• Year 1: Basic sciences with introduction to dentally relevant material.
• Year 2: Completion of basic sciences and greater emphasis on the study of dental disease and its prevention and treatment.
• Year 3: Intensive clinical study of each of the dental disciplines with emphasis on the assessment and management of patients.
• Year 4: Further clinical experience and familiarity with more advanced treatment services; emphasis on integration of the various disciplines and overall management of patient treatment in preparation for general practice; participation in elective programs, clinical conferences and hospital-based experiences.",Yes
Western University Schulich School of Medicine & Dentistry ,"The four-year D.D.S. program is designed to graduate dentists who possess the knowledge and skill to conduct a superior general practice and also sufficient knowledge of basic and applied science to permit and stimulate professional and intellectual growth. Rapid advances in science, medicine and technology; an accelerated pace in the delivery of information; and the importance of knowledge in meeting today’s health care needs continue to change how Western approaches dental education.
• Year 1: Basic medical/dental sciences with introduction to clinical situations.
• Year 2: Basic medical/dental sciences plus courses that are clinically focused in preparation for third year in the dental clinic and in hospital electives; start of delivery of dental services to selected patients.
• Years 3 and 4: Basic dental sciences together with lectures and rotations in clinical
disciplines; delivery of comprehensive dental care to patients in a clinical setting.",Yes
McGill University Faculty of Dentistry ,"Our Undergraduate Dental Program (D.M.D.) curriculum is innovative and constantly evolving, reflecting the minds of our outstanding professors and their vision for training tomorrow’s leaders in oral health care.
Our curriculum employs cutting-edge approaches to the management of oral health problems, as well as innovative teaching and learning techniques. It focuses on the relationship between oral health and general health.
Our curriculum is always evolving to further improve the capacity of our graduates to better serve under-privileged groups in our society and to become leaders in oral health-related research and academics, organized dentistry, dental practice and government, all with a view to addressing the enormous disparities in oral and general health that exist in society today.
During the first 16 months of the program, the Fundamentals of medicine and dentistry are taught in conjunction with the Faculty of Medicine. Students then complete seven months of intense pre-clinical training followed by two years of clinical training in our brand new state-of-the-art undergraduate teaching clinic. Students rotate through various hospital departments including Oral and Maxillofacial Surgery, Pediatric Dentistry, the Jim Lund Dental Clinic and the Alan Edwards Pain Management Unit.",Yes
Université Laval Faculté de médecine dentaire ,The program is designed to give its graduates a thorough grounding in the basic sciences  and broad clinical experience. Basic health sciences are taught in an integrated health science complex. Preclinical and clinical subjects are under the direct control of dental school personnel. The first two years of the program are devoted to the basic and preclinical sciences. The last two years are devoted almost entirely to clinical work.,Yes
Université de Montréal Faculté de médecine dentaire,"Training in the basic sciences and preclinical disciplines is emphasized in the first two years of the program. Clinical training starts during the first semester of the second year. Optional clinical courses are offered during the last year of the program. In addition to traditional clinical training such as implantology, periodontics/endodontics and constructive dentistry, off-campus activities in student exchange programs, clinical activities in international cooperation humanitarian projects and off-campus clinics are available. Student performance is evaluated qualitatively and quantitatively throughout the entire clinical program.",Yes
University of Saskatchewan College of Dentistry,"The program (August to May) is four years in length. There are no course/program offerings during the summer session. The curriculum is structured on a diagonal pattern: The earlier years are heavily weighted with the basic sciences, but some dental sciences are taken in each year. The balance gradually shifts to the dental sciences so that the program is devoted almost entirely to the dental sciences after the end of the second year. Positive efforts are made at all levels to closely integrate the basic and dental sciences and the theoretical and applied aspects of the dental curriculum.",Yes
